nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000206	Keanu Reeves	1964	\N	actor,producer,soundtrack	tt0133093,tt0234215,tt0111257,tt0102685
nm0000207	Christina Ricci	1980	\N	actress,producer,soundtrack	tt0112642,tt0101272,tt0106220,tt0118789
nm0000208	Molly Ringwald	1968	\N	actress,soundtrack,music_department	tt0088128,tt0091790,tt0095169,tt0088847
nm0000209	Tim Robbins	1958	\N	actor,producer,director	tt0105151,tt0327056,tt0094812,tt0111161
nm0000210	Julia Roberts	1967	\N	actress,producer,soundtrack	tt0100405,tt0119738,tt1322269,tt0195685
nm0000211	Mimi Rogers	1956	\N	actress,producer,soundtrack	tt0120738,tt0488085,tt0118655,tt0210070
nm0000212	Meg Ryan	1961	\N	actress,producer,soundtrack	tt0108160,tt0098635,tt0120632,tt0128853
nm0000213	Winona Ryder	1971	\N	actress,producer,soundtrack	tt0110367,tt0172493,tt0118583,tt0099487
nm0000214	Mia Sara	1967	\N	actress,soundtrack	tt0111438,tt0112515,tt0089469,tt0091042
nm0000215	Susan Sarandon	1946	\N	actress,producer,soundtrack	tt0112818,tt0120686,tt0094812,tt0103074
nm0000216	Arnold Schwarzenegger	1947	\N	actor,producer,director	tt0093773,tt0100802,tt0103064,tt0111503
nm0000217	Martin Scorsese	1942	\N	producer,director,actor	tt0490215,tt0075314,tt0099685,tt0106226
nm0000218	Kristin Scott Thomas	1960	\N	actress,soundtrack,director	tt0280707,tt1602613,tt0109831,tt0116209
nm0000219	Steven Seagal	1952	\N	producer,actor,writer	tt0094602,tt0105690,tt0110725,tt0242445
nm0000220	Joan Severance	1958	\N	actress,producer	tt0099141,tt0098282,tt0115696,tt0112519
nm0000221	Charlie Sheen	1965	\N	actor,producer,soundtrack	tt0107144,tt0094291,tt0108333,tt0369179
nm0000222	Brooke Shields	1965	\N	actress,producer,soundtrack	tt0082329,tt0080453,tt0078111,tt0115376
nm0000223	Elisabeth Shue	1963	\N	actress,soundtrack,producer	tt0092513,tt0087538,tt0120053,tt0113627
nm0000224	Alicia Silverstone	1976	\N	actress,producer,soundtrack	tt0124298,tt0112697,tt0118688,tt0119086
nm0000225	Christian Slater	1969	\N	actor,producer,soundtrack	tt4158110,tt0102798,tt0108399,tt0124198
nm0000226	Will Smith	1968	\N	music_department,actor,producer	tt0119654,tt0480249,tt0098800,tt0120891
nm0000227	Mira Sorvino	1967	\N	actress,producer,soundtrack	tt0364343,tt0113819,tt0119675,tt0120032
nm0000228	Kevin Spacey	1959	\N	actor,producer,soundtrack	tt0169547,tt0119488,tt0114814,tt0114369
nm0000229	Steven Spielberg	1946	\N	producer,writer,director	tt0108052,tt0082971,tt0120815,tt0083866
nm0000230	Sylvester Stallone	1946	\N	actor,writer,producer	tt0084602,tt0075148,tt3076658,tt0089927
nm0000231	Oliver Stone	1946	\N	director,producer,writer	tt0096969,tt0102138,tt0091763,tt0346491
nm0000232	Sharon Stone	1958	\N	actress,producer,soundtrack	tt0108162,tt0103772,tt0112641,tt0114214
nm0000233	Quentin Tarantino	1963	\N	writer,actor,producer	tt0105236,tt0110912,tt0116367,tt3460252
nm0000234	Charlize Theron	1975	\N	actress,producer,soundtrack	tt2406566,tt0340855,tt1735898,tt1392190
nm0000235	Uma Thurman	1970	\N	actress,soundtrack,writer	tt0110912,tt0378194,tt0118688,tt0266697
nm0000236	Jennifer Tilly	1958	\N	actress,soundtrack,writer	tt0115736,tt0144120,tt0119528,tt0387575
nm0000237	John Travolta	1954	\N	actor,soundtrack,producer	tt0110912,tt0119094,tt0185183,tt0427327
nm0000238	Shannon Tweed	1957	\N	actress,producer,set_decorator	tt0094834,tt0165710,tt0110675,tt0112942
nm0000239	Liv Tyler	1977	\N	actress,producer,soundtrack	tt0482606,tt0120591,tt0120737,tt0167260
nm0000240	Skeet Ulrich	1970	\N	actor,director,producer	tt0115963,tt0117571,tt0409572,tt0163579
nm0000241	Jean-Claude Van Damme	1960	\N	actor,writer,producer	tt0097659,tt0119013,tt0101764,tt0092675
nm0000242	Mark Wahlberg	1971	\N	producer,actor,soundtrack	tt0407887,tt0118749,tt1637725,tt0964517
nm0000243	Denzel Washington	1954	\N	actor,producer,soundtrack	tt0139654,tt1037705,tt2671706,tt0104797
nm0000244	Sigourney Weaver	1949	\N	actress,soundtrack,producer	tt0499549,tt0118583,tt0177789,tt0078748
nm0000245	Robin Williams	1951	2014	actor,soundtrack,writer	tt0093105,tt0107614,tt0265459,tt0119217
nm0000246	Bruce Willis	1955	\N	actor,soundtrack,producer	tt0095016,tt0088571,tt0167404,tt0110912
nm0000247	John Woo	1946	\N	producer,director,writer	tt0092263,tt0425637,tt0104684,tt0119094
nm0000248	Edward D. Wood Jr.	1924	1978	writer,director,actor	tt0052077,tt0045826,tt0047127,tt0047898
nm0000249	James Woods	1947	\N	actor,producer,soundtrack	tt0086541,tt0120877,tt0119282,tt0112641
nm0000250	Renée Zellweger	1969	\N	actress,soundtrack,producer	tt0243155,tt0299658,tt0116695,tt0159365
nm0000251	Timothy Dowling	1973	\N	actor,writer	tt1596350,tt2120120,tt0430922,tt0181852
nm0000252	Robert Ellis	1892	1974	actor,director,writer	tt0028651,tt0006213,tt0023693,tt0026197
nm0000253	Robert Ellis	1888	1935	art_director,miscellaneous	tt0025712,tt0025073,tt0025713,tt0026195
nm0000254	Isabelle Adjani	1955	\N	actress,soundtrack,producer	tt0110963,tt0073114,tt0082933,tt0094828
nm0000255	Ben Affleck	1972	\N	producer,actor,writer	tt2267998,tt0120591,tt1024648,tt0840361
nm0000256	Jenny Agutter	1952	\N	actress,soundtrack	tt0099253,tt0848228,tt0082010,tt0074812
nm0000257	Alan Alda	1936	\N	actor,miscellaneous,soundtrack	tt0116242,tt0082405,tt0097123,tt0068098
nm0000258	Stephanie Zimbalist	1956	\N	actress,writer	tt0080402,tt0076993,tt3717214,tt0083470
nm0000259	Ginger Lynn	1962	\N	actress,director,writer	tt0210365,tt0134898,tt0125377,tt0395584
nm0000260	Joan Allen	1956	\N	actress,producer	tt3170832,tt0120789,tt0452608,tt0115988
nm0000261	Karen Allen	1951	\N	actress,director,soundtrack	tt0367882,tt0082971,tt0077975,tt0088172
nm0000262	Nancy Allen	1950	\N	actress,soundtrack	tt0080661,tt0100502,tt0107978,tt0093870
nm0000263	Kirstie Alley	1951	\N	actress,producer,writer	tt0097778,tt0113442,tt0157503,tt0084726
nm0000264	Pedro Almodóvar	1949	\N	writer,director,soundtrack	tt0095675,tt0287467,tt0441909,tt1189073
nm0000265	Robert Altman	1925	2006	director,producer,writer	tt0066026,tt0105151,tt0108122,tt0280707
nm0000266	Ursula Andress	1936	\N	actress	tt0060177,tt0061452,tt0082186,tt0055928
nm0000267	Julie Andrews	1935	\N	actress,soundtrack,producer	tt0059742,tt0084865,tt0062362,tt0058331
nm0000268	Ann-Margret	1941	\N	actress,soundtrack	tt0107050,tt0077321,tt0056891,tt0066892
nm0000269	Jean-Jacques Annaud	1943	\N	director,writer,producer	tt0215750,tt0091605,tt2909116,tt0120102
nm0000270	Gabrielle Anwar	1970	\N	actress,producer,soundtrack	tt0103262,tt0105323,tt0108333,tt0810788
nm0000271	Anne Archer	1947	\N	actress,producer,soundtrack	tt0108122,tt0821640,tt0093010,tt0105112
nm0000272	Fanny Ardant	1949	\N	actress,director,writer	tt0086551,tt0127536,tt0283832,tt0401711
nm0000273	Alan Arkin	1934	\N	actor,soundtrack,director	tt0449059,tt0099487,tt1024648,tt0104348
nm0000274	David Arquette	1971	\N	producer,actor,director	tt0134084,tt0120082,tt0271367,tt0151738
nm0000275	Rosanna Arquette	1959	\N	actress,director,producer	tt0089017,tt0110912,tt0088680,tt0190138
nm0000276	Sean Astin	1971	\N	actor,producer,director	tt0089218,tt0120737,tt0167261,tt0167260
nm0000277	Richard Attenborough	1923	2014	actor,producer,director	tt0083987,tt0057115,tt0107290,tt0110527
nm0000278	Pernilla August	1958	\N	actress,director,writer	tt0120915,tt1437366,tt0121765,tt0104350
nm0000279	Hank Azaria	1964	\N	actor,soundtrack,producer	tt0115685,tt1839481,tt0118617,tt0096697
nm0000280	Catherine Bach	1954	\N	actress,soundtrack	tt0078607,tt1414382,tt2282737,tt0072288
nm0000281	Scott Baio	1960	\N	actor,director,producer	tt0281680,tt0367279,tt0270846,tt0070992
nm0000282	Scott Bairstow	1970	\N	actor	tt0119925,tt0120512,tt0118730,tt0283084
nm0000283	Brenda Bakke	1963	\N	actress	tt0119488,tt0107144,tt0114608,tt0114781
nm0000284	Adam Baldwin	1962	\N	actor,soundtrack	tt0187393,tt0093058,tt0116629,tt0379786
nm0000285	Alec Baldwin	1958	\N	actor,producer,soundtrack	tt0407887,tt0104348,tt0318374,tt1230414
nm0000286	Stephen Baldwin	1966	\N	actor,producer,director	tt0114814,tt0115683,tt0158622,tt0486583
nm0000287	William Baldwin	1963	\N	actor,producer,stunts	tt0108162,tt0113010,tt0367089,tt0101393
nm0000288	Christian Bale	1974	\N	actor,editorial_department,producer	tt0964517,tt0372784,tt0468569,tt1800241
nm0000289	Ellen Barkin	1954	\N	actress,producer	tt0157503,tt0108330,tt0098273,tt0116277
nm0000290	John Barry	1933	2011	music_department,soundtrack,composer	tt0089755,tt0093428,tt0099348,tt0111255
nm0000291	Angela Bassett	1958	\N	actress,producer,director	tt2302755,tt0108551,tt0118884,tt0114558
nm0000292	Michelle Bauer	1958	\N	actress,miscellaneous,costume_department	tt0181017,tt0094998,tt0103213,tt0097703
nm0000293	Sean Bean	1959	\N	actor,producer	tt1181791,tt0944947,tt0120737,tt1617661
nm0000294	Amanda Bearse	1958	\N	actress,director,producer	tt0092400,tt0247121,tt0338067,tt0089175
nm0000295	Kate Beckinsale	1973	\N	actress,soundtrack	tt0401855,tt0213149,tt0320691,tt0338751
nm0000296	Robert Beltran	1953	\N	actor,soundtrack	tt0087799,tt0112178,tt0085862,tt0113987
nm0000297	Tom Berenger	1949	\N	actor,producer,writer	tt0097815,tt0091763,tt1375666,tt1433108
nm0000298	Candice Bergen	1946	\N	actress,producer,soundtrack	tt0094514,tt0901476,tt0212346,tt0256415
nm0000299	Michael Biehn	1956	\N	actor,producer,director	tt0108358,tt0090605,tt0088247,tt1077258
nm0000300	Juliette Binoche	1964	\N	actress,art_department,miscellaneous	tt0116209,tt0241303,tt1219827,tt0108394
nm0000301	Thora Birch	1982	\N	actress,producer,soundtrack	tt0162346,tt0105112,tt0107120
nm0000302	Jacqueline Bisset	1944	\N	actress,producer	tt0088322,tt0071877,tt0421054,tt0062765
nm0000303	Honor Blackman	1925	\N	actress,soundtrack	tt0057197,tt0243155,tt0054518,tt0058150
nm0000304	Linda Blair	1959	\N	actress,soundtrack,producer	tt0085318,tt0088044,tt0070047,tt0082511
nm0000305	Mel Blanc	1908	1989	actor,soundtrack,music_department	tt0096438,tt0078915,tt0077278,tt0038576
nm0000306	Brian Blessed	1936	\N	actor,soundtrack,director	tt0120855,tt0080745,tt0120915,tt0346491
nm0000307	Helena Bonham Carter	1966	\N	actress,soundtrack,producer	tt0133152,tt0137523,tt0408236,tt1707386
nm0000308	Ernest Borgnine	1917	2012	actor,soundtrack,producer	tt0048356,tt0082340,tt0065214,tt0069113
nm0000309	David Bowie	1947	2016	soundtrack,actor,composer	tt0196229,tt0482571,tt0091369,tt0074851
nm0000310	Bruce Boxleitner	1950	\N	actor,producer	tt0871427,tt0084827,tt0105946,tt1104001
nm0000311	Annie Rosar	1888	1963	actress	tt0034800,tt0140410,tt0052996,tt0041552
nm0000312	Amy Brenneman	1964	\N	actress,producer,writer	tt0116287,tt0113277,tt0420015,tt0209069
nm0000313	Jeff Bridges	1949	\N	actor,soundtrack,producer	tt1263670,tt0118715,tt0088172,tt1403865
nm0000314	Charles Bronson	1921	2003	actor	tt0054047,tt0064116,tt0071402,tt0057115
nm0000315	Louise Brooks	1906	1985	actress,soundtrack	tt0020475,tt0017382,tt0018737,tt0021917
nm0000316	Mel Brooks	1926	\N	actor,writer,soundtrack	tt0094012,tt0071230,tt0395251,tt0082517
nm0000317	Clancy Brown	1959	\N	actor,soundtrack,producer	tt0803096,tt0111161,tt0120201,tt3501632
nm0000318	Tim Burton	1958	\N	producer,miscellaneous,director	tt0099487,tt0408236,tt0121164,tt0109707
